gene,day,gDNA,mRNA
PDAP1,day 5,-1.39,-0.33
PDAP1,day 13,-0.6,-1.45
PDAP1,day 21,-0.42,-1.06
PDCD11,day 5,-0.06,0.08
PDCD11,day 13,-1.55,-2.49
PDCD11,day 21,-0.84,-2.62
PDCD4,day 5,-0.18,0.25
PDCD4,day 13,-0.02,0.54
PDCD4,day 21,0.17,0.52
PDCD6IP,day 5,0.17,-0.03
PDCD6IP,day 13,0.95,0.41
PDCD6IP,day 21,1.14,0.73
PDCD7,day 5,0.24,0.05
PDCD7,day 13,-1.64,-3.5
PDCD7,day 21,-3.56,-3.35
PDE12,day 5,-0.3,-0.07
PDE12,day 13,0.01,0.36
PDE12,day 21,0.6,0.41
PDIA2,day 5,-0.3,0.54
PDIA2,day 13,1.93,1.75
PDIA2,day 21,2.31,2.43
PDIA3,day 5,-0.21,0.08
PDIA3,day 13,1,0.6
PDIA3,day 21,1.32,1.18
PDIA4,day 5,-0.05,-0.02
PDIA4,day 13,0.54,0.57
PDIA4,day 21,-0.27,-0.21
PDLIM5,day 5,0.27,-0.08
PDLIM5,day 13,0.76,0.36
PDLIM5,day 21,1.27,0.72
PDS5A,day 5,-0.04,0.34
PDS5A,day 13,-0.06,1
PDS5A,day 21,0.68,1.65
PEBP1,day 5,-0.1,0.04
PEBP1,day 13,0.5,0.99
PEBP1,day 21,1.35,1.33
PEF1,day 5,-0.85,-0.39
PEF1,day 13,-0.88,-0.69
PEF1,day 21,-0.57,-0.27
PEG10,day 5,0.14,0.29
PEG10,day 13,1.15,1.41
PEG10,day 21,1.66,2.19
PELO,day 5,-0.9,-0.09
PELO,day 13,-0.88,-0.69
PELO,day 21,-0.82,-1.55
PELP1,day 5,1.97,0.04
PELP1,day 13,-2.08,-3.59
PELP1,day 21,-1.37,-4.24
PES1,day 5,-0.01,-0.52
PES1,day 13,-1.83,-4.7
PES1,day 21,-1.12,-4.52
PFN1,day 5,-0.24,-0.14
PFN1,day 13,0.86,0.48
PFN1,day 21,1,0.5
PGRMC1,day 5,-0.05,0.39
PGRMC1,day 13,0.94,1.65
PGRMC1,day 21,1.53,1.3
PHAX,day 5,-0.28,-0.26
PHAX,day 13,-3.48,-5.91
PHAX,day 21,-2.77,-4.99
PHB1,day 5,-0.89,-0.44
PHB1,day 13,-2.57,-4.03
PHB1,day 21,-1.83,-3.82
PHF10,day 5,0.31,0.08
PHF10,day 13,0.62,0.99
PHF10,day 21,0.97,1.36
PHF3,day 5,0.4,0.37
PHF3,day 13,1.36,1.19
PHF3,day 21,1.35,1.49
PHF5A,day 5,-1.39,-1.06
PHF5A,day 13,-1.6,-4.06
PHF5A,day 21,-0.89,-3.77
PHF6,day 5,-0.34,-0.06
PHF6,day 13,0.19,0.51
PHF6,day 21,0.91,0.42
PHGDH,day 5,-1.23,0.01
PHGDH,day 13,-0.58,0.28
PHGDH,day 21,0.57,0.96
PHRF1,day 5,-0.33,-0.24
PHRF1,day 13,0.49,0.25
PHRF1,day 21,-0.36,0.11
PIH1D1,day 5,0.76,0.04
PIH1D1,day 13,0.23,0.5
PIH1D1,day 21,0.16,0.57
PIH1D2,day 5,0.71,0.25
PIH1D2,day 13,0.96,1.56
PIH1D2,day 21,0.9,1.98
PIM1,day 5,0.5,0.26
PIM1,day 13,1.4,0.89
PIM1,day 21,1.99,1.66
PIN4,day 5,-0.12,-0.06
PIN4,day 13,0.59,0.49
PIN4,day 21,0.89,0.69
PINX1,day 5,-3.15,-0.77
PINX1,day 13,-2.45,-2.09
PINX1,day 21,-2.15,-2.42
PIWIL1,day 5,-0.23,0.11
PIWIL1,day 13,1.37,0.8
PIWIL1,day 21,1.99,1.17
PIWIL2,day 5,-0.28,-0.22
PIWIL2,day 13,1.15,0.91
PIWIL2,day 21,1.56,1.28
PIWIL3,day 5,0.27,0.05
PIWIL3,day 13,0.7,0.62
PIWIL3,day 21,0.89,0.72
PIWIL4,day 5,1.1,0.17
PIWIL4,day 13,1.45,1.26
PIWIL4,day 21,0.66,1.72
PKM,day 5,0.44,0.22
PKM,day 13,-1.86,-1.12
PKM,day 21,-1.59,-2.01
PKN2,day 5,0.57,0.08
PKN2,day 13,1.22,0.51
PKN2,day 21,0.37,0.83
PLA2G1B,day 5,0.53,0.07
PLA2G1B,day 13,1,1.14
PLA2G1B,day 21,1.49,1.6
PLD6,day 5,0.32,0.34
PLD6,day 13,1.6,1.59
PLD6,day 21,1.95,2.38
PLEC,day 5,-0.24,0.13
PLEC,day 13,0.63,1.3
PLEC,day 21,0.68,1.87
PLRG1,day 5,-0.59,-0.5
PLRG1,day 13,-2.15,-3.18
PLRG1,day 21,-2.98,-4.27
PMS1,day 5,0.12,0.56
PMS1,day 13,1.05,1.39
PMS1,day 21,1.36,2.27
PNISR,day 5,-0.04,0.49
PNISR,day 13,1.08,0.27
PNISR,day 21,-0.08,0.18
PNLDC1,day 5,-0.18,0.35
PNLDC1,day 13,0.77,1.55
PNLDC1,day 21,2.38,2.41
PNN,day 5,-1.16,-0.09
PNN,day 13,-1.67,-1.11
PNN,day 21,-2,-1.09
PNO1,day 5,-0.12,-0.69
PNO1,day 13,-1.82,-1.86
PNO1,day 21,-1.11,-2.29
PNPT1,day 5,-0.12,-0.17
PNPT1,day 13,-2.8,-3.17
PNPT1,day 21,-2.08,-4.11
PNRC2,day 5,-0.41,-0.01
PNRC2,day 13,-0.84,-0.36
PNRC2,day 21,-0.56,0.24
POLDIP3,day 5,-0.5,0.3
POLDIP3,day 13,0.82,1.46
POLDIP3,day 21,1.21,1.94
POLR1E,day 5,0.04,0.28
POLR1E,day 13,-1.66,-2.23
POLR1E,day 21,-1.71,-2.96
POLR1G,day 5,0.08,-0.13
POLR1G,day 13,-1.89,-3.72
POLR1G,day 21,-1.25,-4.7
POLR2A,day 5,-3.52,-3.39
POLR2A,day 13,-4.89,-5.35
POLR2A,day 21,-4.18,-5.47
POLR2B,day 5,-0.3,-1.17
POLR2B,day 13,-0.38,-3.86
POLR2B,day 21,-1.41,-5.07
POLR2D,day 5,-1.39,-2.52
POLR2D,day 13,-3,-5.65
POLR2D,day 21,-2.88,-4.93
POLR2E,day 5,-0.5,-1.51
POLR2E,day 13,-2,-2.79
POLR2E,day 21,-1.58,-2.12
POLR2F,day 5,-1.28,-2.26
POLR2F,day 13,-4.1,-6.63
POLR2F,day 21,-3.39,-6.04
POLR2G,day 5,-0.33,-1.3
POLR2G,day 13,-2.18,-3.66
POLR2G,day 21,-2.8,-3.67
POLR2H,day 5,-1.66,-2.06
POLR2H,day 13,-3.25,-4.8
POLR2H,day 21,-2.03,-5.09
POLR2I,day 5,-0.37,-1.49
POLR2I,day 13,-1.43,-4.46
POLR2I,day 21,-2.03,-3.94
POLR2J,day 5,-1.37,-2.58
POLR2J,day 13,-3.8,-5.53
POLR2J,day 21,-3.08,-4.54
POLR2J2,day 5,-1.59,-0.84
POLR2J2,day 13,-0.71,-0.53
POLR2J2,day 21,-0.19,-2.38
POLR2J3,day 5,-0.95,-2
POLR2J3,day 13,-3.43,-5.79
POLR2J3,day 21,-2.99,-5.53
POLR2K,day 5,-1.3,-2.63
POLR2K,day 13,-4.21,-4.93
POLR2K,day 21,-3.56,-4.1
POLR2L,day 5,-0.07,-1.57
POLR2L,day 13,-3.86,-7.16
POLR2L,day 21,-2.49,-6.48
POLRMT,day 5,0.09,0.33
POLRMT,day 13,-0.72,-2.04
POLRMT,day 21,-2.05,-5.14
POP1,day 5,-0.55,-0.41
POP1,day 13,-3.44,-5.1
POP1,day 21,-3.64,-5.23
POP4,day 5,0.56,-0.18
POP4,day 13,-0.41,-1.13
POP4,day 21,-0.21,-1.12
POP5,day 5,0.56,-0.04
POP5,day 13,-1.43,-5.03
POP5,day 21,-1.55,-4.47
POP7,day 5,-0.18,0.04
POP7,day 13,-2.3,-3.84
POP7,day 21,-1.59,-4.06
POU5F1,day 5,0.56,0.07
POU5F1,day 13,1.1,0.61
POU5F1,day 21,1.11,1.02
PPAN,day 5,-1.01,-0.36
PPAN,day 13,-3.3,-5.99
PPAN,day 21,-2.59,-5
PPARGC1A,day 5,-0.02,0.16
PPARGC1A,day 13,0.03,1.29
PPARGC1A,day 21,1.29,2
PPARGC1B,day 5,0.68,0.4
PPARGC1B,day 13,1.43,1.04
PPARGC1B,day 21,1.2,1.6
PPHLN1,day 5,0.57,-0.31
PPHLN1,day 13,0.87,0.29
PPHLN1,day 21,0.67,0.77
PPIA,day 5,-0.05,-0.05
PPIA,day 13,0.64,0.6
PPIA,day 21,0.77,0.73
PPIB,day 5,-0.15,-0.94
PPIB,day 13,1.09,-0.24
PPIB,day 21,2.09,-0.34
PPID,day 5,0.35,0.08
PPID,day 13,0.92,0.9
PPID,day 21,1.43,1.38
PPIE,day 5,0.15,-0.02
PPIE,day 13,-2.29,-2.88
PPIE,day 21,-1.12,-2.68
PPIF,day 5,-0.06,0.12
PPIF,day 13,1.61,1.53
PPIF,day 21,2.05,2.2
PPIG,day 5,-0.25,0.15
PPIG,day 13,0.12,0.88
PPIG,day 21,0.41,1.51
PPIH,day 5,-0.11,-0.01
PPIH,day 13,0.19,-0.07
PPIH,day 21,-0.63,-0.03
PPIL3,day 5,0.64,-0.25
PPIL3,day 13,0.71,0.15
PPIL3,day 21,1.35,0.77
PPIL4,day 5,-0.7,-0.06
PPIL4,day 13,-3.31,-3.76
PPIL4,day 21,-2.59,-3.4
PPP1CC,day 5,-0.19,0.14
PPP1CC,day 13,0.2,0.55
PPP1CC,day 21,0.25,1.04
PPP1R10,day 5,-0.88,-1.33
PPP1R10,day 13,-1.41,-1.84
PPP1R10,day 21,-1.76,-1.11
PPP1R8,day 5,0.68,0.01
PPP1R8,day 13,-0.68,-2.04
PPP1R8,day 21,-1.71,-3.59
PPRC1,day 5,-0.26,0.3
PPRC1,day 13,-1.6,-1.04
PPRC1,day 21,-0.89,-1.29
PPWD1,day 5,-0.41,-0.32
PPWD1,day 13,-1.13,-3.23
PPWD1,day 21,-1.61,-3.21
PQBP1,day 5,0.4,0.4
PQBP1,day 13,0.87,0.81
PQBP1,day 21,0.31,0.72
PRDX1,day 5,0.63,-0.33
PRDX1,day 13,-0.98,-0.64
PRDX1,day 21,-1.14,-0.8
PRDX3,day 5,0.41,0.19
PRDX3,day 13,1.69,1.57
PRDX3,day 21,2.68,2.42
PRIM1,day 5,-0.65,-0.26
PRIM1,day 13,-3.46,-4.92
PRIM1,day 21,-2.84,-4.61
PRKAB2,day 5,0.15,0.28
PRKAB2,day 13,1.25,0.88
PRKAB2,day 21,2.15,1.58
PRKAR2A,day 5,0.08,-0.11
PRKAR2A,day 13,1.57,0.81
PRKAR2A,day 21,1.24,1.1
PRKDC,day 5,0.19,-0.27
PRKDC,day 13,0.47,0.19
PRKDC,day 21,-0.83,-0.83
PRKRA,day 5,-0.26,0.29
PRKRA,day 13,0.88,1.46
PRKRA,day 21,1.59,2.3
PRMT1,day 5,0.37,0.38
PRMT1,day 13,-2.27,-2.25
PRMT1,day 21,-1.56,-4.52
PRORP,day 5,-0.29,0.21
PRORP,day 13,-2.36,-2.17
PRORP,day 21,-1.62,-3.53
PRPF18,day 5,-0.48,-0.25
PRPF18,day 13,-0.65,-1.93
PRPF18,day 21,-0.37,-2.47
PRPF19,day 5,-0.48,-0.52
PRPF19,day 13,-4.29,-7.52
PRPF19,day 21,-2.95,-6.54
PRPF3,day 5,-0.33,-0.26
PRPF3,day 13,-0.87,-2.23
PRPF3,day 21,-2.26,-2.31
PRPF31,day 5,-1.16,-0.23
PRPF31,day 13,-2.55,-4.41
PRPF31,day 21,-2.36,-4.66
PRPF38A,day 5,-0.49,-1.03
PRPF38A,day 13,-2.02,-4.98
PRPF38A,day 21,-1.57,-5.16
PRPF38B,day 5,-0.39,-0.38
PRPF38B,day 13,-2.11,-3.88
PRPF38B,day 21,-2.88,-3.61
PRPF39,day 5,0.22,0.18
PRPF39,day 13,0.52,0.04
PRPF39,day 21,-0.26,-0.37
PRPF4,day 5,-0.49,-0.17
PRPF4,day 13,-3.38,-5.75
PRPF4,day 21,-1.92,-5.13
PRPF40A,day 5,0.45,-0.22
PRPF40A,day 13,-0.46,-1.73
PRPF40A,day 21,-0.66,-3.53
PRPF40B,day 5,-0.69,-0.19
PRPF40B,day 13,-0.61,-0.16
PRPF40B,day 21,-1.42,-0.1
PRPF4B,day 5,-0.79,0.14
PRPF4B,day 13,-1.04,-1.23
PRPF4B,day 21,-0.42,-0.44
PRPF6,day 5,0.21,-0.28
PRPF6,day 13,-1.56,-2.15
PRPF6,day 21,-0.28,-3.28
PRPF8,day 5,-0.47,-0.94
PRPF8,day 13,-2.45,-5.77
PRPF8,day 21,-1.74,-4.78
PRR3,day 5,0.32,0.22
PRR3,day 13,1.01,1.27
PRR3,day 21,1.33,2.18
PRRC2A,day 5,0.15,-0.28
PRRC2A,day 13,0.03,0.5
PRRC2A,day 21,-0.06,0.47
PRRC2B,day 5,0.53,0.06
PRRC2B,day 13,0.35,0.61
PRRC2B,day 21,1.26,1.5
PRRC2C,day 5,0.72,0.1
PRRC2C,day 13,1.24,0.8
PRRC2C,day 21,1.34,1.7
PSIP1,day 5,0.35,-0.19
PSIP1,day 13,-0.11,0.53
PSIP1,day 21,1.08,1.24
PSMA1,day 5,0.55,-0.71
PSMA1,day 13,-1.76,-4.12
PSMA1,day 21,-2.41,-4.8
PSMA2,day 5,-0.34,-1.34
PSMA2,day 13,-1.52,-3.49
PSMA2,day 21,-2.68,-3.99
PSMA3,day 5,-0.41,-1.12
PSMA3,day 13,-1.87,-3.34
PSMA3,day 21,-2.21,-4.09
PSMA4,day 5,-0.7,-2.05
PSMA4,day 13,-2.56,-5.77
PSMA4,day 21,-2.16,-5.14
PSMA6,day 5,-1.86,-2.93
PSMA6,day 13,-3.49,-5.31
PSMA6,day 21,-2.78,-4.69
PSMB1,day 5,0.05,-0.53
PSMB1,day 13,-1.85,-3.86
PSMB1,day 21,-1.08,-3.93
PSMB2,day 5,-1.24,-1.41
PSMB2,day 13,-4.2,-6.12
PSMB2,day 21,-3.49,-5.62
PSMB3,day 5,-1.08,-1.68
PSMB3,day 13,-2.9,-3.38
PSMB3,day 21,-2.19,-2.99
PSMC1,day 5,-0.04,-0.86
PSMC1,day 13,-2.9,-3.7
PSMC1,day 21,-3.65,-5.31
PSMC2,day 5,-1.65,-2.3
PSMC2,day 13,-3.48,-5.82
PSMC2,day 21,-3.22,-5.31
PSMC4,day 5,-1.75,-2.22
PSMC4,day 13,-2.34,-4.43
PSMC4,day 21,-1.65,-4.6
PSMD1,day 5,0.35,-0.36
PSMD1,day 13,-1.48,-1.25
PSMD1,day 21,-1.83,-1.63
PSMD11,day 5,-0.37,-0.54
PSMD11,day 13,-2.14,-3.33
PSMD11,day 21,-2.47,-3.75
PSMD4,day 5,-1.05,-0.59
PSMD4,day 13,-2.58,-4.43
PSMD4,day 21,-2.47,-4.73
PSMD6,day 5,-0.83,-1.54
PSMD6,day 13,-4.4,-5.63
PSMD6,day 21,-3.23,-5.2
PSMD7,day 5,-1.69,-1.48
PSMD7,day 13,-3.93,-5.23
PSMD7,day 21,-2.58,-4.82
PSPC1,day 5,0.43,0.17
PSPC1,day 13,0.78,0.97
PSPC1,day 21,1.32,1.55
PSTK,day 5,0.8,0.33
PSTK,day 13,0.71,0.07
PSTK,day 21,-1.33,-3.61
PTBP1,day 5,0.09,-0.03
PTBP1,day 13,0.49,0.22
PTBP1,day 21,0.2,-0.15
PTBP2,day 5,-0.08,0.16
PTBP2,day 13,0.87,1.01
PTBP2,day 21,0.82,1.76
PTBP3,day 5,0.3,0.42
PTBP3,day 13,1.2,1.4
PTBP3,day 21,1.63,2.17
PTCD1,day 5,0.13,0.04
PTCD1,day 13,-0.56,-1.7
PTCD1,day 21,-1.28,-2.99
PTCD2,day 5,-0.48,0.2
PTCD2,day 13,-0.47,-0.1
PTCD2,day 21,-0.42,0.06
PTCD3,day 5,-0.41,0.02
PTCD3,day 13,-1.27,-2.74
PTCD3,day 21,-1.64,-4.15
PTDSS1,day 5,-0.31,0.23
PTDSS1,day 13,-0.87,-0.45
PTDSS1,day 21,-1.24,-2.02
PTGES3,day 5,-0.06,0.11
PTGES3,day 13,1.13,0.45
PTGES3,day 21,1.24,0.96
PTGES3L-AARSD1,day 5,1.2,0.02
PTGES3L-AARSD1,day 13,1.14,0.21
PTGES3L-AARSD1,day 21,0.59,0.42
PTH2,day 5,-0.01,0.33
PTH2,day 13,0.55,1.1
PTH2,day 21,0.53,1.44
PTMA,day 5,0.12,0.01
PTMA,day 13,0.34,0.5
PTMA,day 21,0.72,0.63
PTPN1,day 5,0.36,0.54
PTPN1,day 13,1.43,1.89
PTPN1,day 21,2.14,2.87
PTPN12,day 5,0.11,0.12
PTPN12,day 13,0.32,0.37
PTPN12,day 21,1.91,0.69
PTRH1,day 5,-0.06,0.21
PTRH1,day 13,-0.37,0.39
PTRH1,day 21,-0.25,0.07
PTRHD1,day 5,0.27,0.34
PTRHD1,day 13,1.47,1.22
PTRHD1,day 21,2.32,1.55
PUF60,day 5,-1.05,-0.41
PUF60,day 13,-2.01,-2.54
PUF60,day 21,-3.09,-3.81
PUM1,day 5,0.15,0.19
PUM1,day 13,0.68,0.46
PUM1,day 21,1.04,1.12
PUM2,day 5,-0.17,0.36
PUM2,day 13,0.05,0.73
PUM2,day 21,-0.24,0.86
PUM3,day 5,-0.1,0.4
PUM3,day 13,1.08,1.53
PUM3,day 21,1.74,2.18
PURA,day 5,0.56,0.1
PURA,day 13,1.23,0.98
PURA,day 21,2.33,1.52
PURB,day 5,0.91,0.33
PURB,day 13,1.23,0.82
PURB,day 21,3.02,1.56
PURG,day 5,0.07,0.18
PURG,day 13,0.47,0.36
PURG,day 21,1.45,0.17
PURO,day 5,0.53,0.11
PURO,day 13,1.83,1.48
PURO,day 21,1.93,1.74
PUS1,day 5,-0.46,0.15
PUS1,day 13,0.2,0.68
PUS1,day 21,0.2,0.57
PUS10,day 5,-0.18,0.37
PUS10,day 13,0.49,1.1
PUS10,day 21,0.27,1.68
PUS3,day 5,0.28,0.23
PUS3,day 13,1.54,1.43
PUS3,day 21,1.19,1.59
PUS7,day 5,-0.48,-0.11
PUS7,day 13,0.33,0.66
PUS7,day 21,0.34,0.89
PUS7L,day 5,-0.1,0.04
PUS7L,day 13,0.66,0.76
PUS7L,day 21,1.45,1.61
PUSL1,day 5,0.73,0.19
PUSL1,day 13,0.58,0.46
PUSL1,day 21,0.56,0.76
PWP2,day 5,-1.2,-0.97
PWP2,day 13,-1.81,-3.74
PWP2,day 21,-1.87,-3
PYM1,day 5,-0.5,-0.26
PYM1,day 13,0.53,0.3
PYM1,day 21,0.59,0.39
QKI,day 5,0.08,0.17
QKI,day 13,0.83,1.36
QKI,day 21,1.22,1.85
QRSL1,day 5,0.17,0.46
QRSL1,day 13,-2,-1.93
QRSL1,day 21,-2.31,-4.46
QTRT1,day 5,0.08,0.09
QTRT1,day 13,0.71,0.3
QTRT1,day 21,0.97,1.14
QTRT2,day 5,-0.27,-0.07
QTRT2,day 13,0.2,0.83
QTRT2,day 21,1.11,1.96
R3HCC1,day 5,0.17,0.31
R3HCC1,day 13,1.7,1.39
R3HCC1,day 21,1.77,2.12
R3HCC1L,day 5,-0.18,0.1
R3HCC1L,day 13,1.24,1.13
R3HCC1L,day 21,-0.39,1.81
R3HDM1,day 5,0.49,-0.13
R3HDM1,day 13,0.73,0.15
R3HDM1,day 21,1.47,1.11
R3HDM2,day 5,0.45,0.2
R3HDM2,day 13,1.3,0.92
R3HDM2,day 21,1.9,1.88
RAC1,day 5,0.69,0.08
RAC1,day 13,0.5,0.5
RAC1,day 21,1.19,1.06
RACK1,day 5,0.57,-0.36
RACK1,day 13,-1.63,-1.87
RACK1,day 21,-2.08,-4.69
RAD1,day 5,0.07,-0.06
RAD1,day 13,-0.62,-0.31
RAD1,day 21,-2.14,-3.39
RAE1,day 5,0.57,0.28
RAE1,day 13,-3.63,-5.64
RAE1,day 21,-2.74,-5.19
RAF1,day 5,0.49,0.22
RAF1,day 13,1.56,1.41
RAF1,day 21,2.15,2.25
RAI1,day 5,0.82,0.34
RAI1,day 13,1.2,0.94
RAI1,day 21,1.85,1.58
RALY,day 5,0.68,0.47
RALY,day 13,0.85,1.28
RALY,day 21,1.36,2.07
RALYL,day 5,0.36,0.3
RALYL,day 13,1.34,1.1
RALYL,day 21,0.68,1.62
RAMAC,day 5,-0.45,0.53
RAMAC,day 13,-1.89,-2.57
RAMAC,day 21,-1.18,-2.25
RAN,day 5,-0.91,-1.3
RAN,day 13,-2.47,-5.45
RAN,day 21,-2.02,-4.47
RANBP17,day 5,-0.05,0.14
RANBP17,day 13,1.1,1.49
RANBP17,day 21,0.62,1.97
RANBP2,day 5,-0.29,-0.13
RANBP2,day 13,-1.15,-1.14
RANBP2,day 21,-1.34,-0.58
RANBP6,day 5,-0.39,0.52
RANBP6,day 13,1.07,2.07
RANBP6,day 21,1.76,2.5
RANGRF,day 5,-0.61,-0.23
RANGRF,day 13,-0.77,-0.64
RANGRF,day 21,-1.1,-0.43
RARS1,day 5,0.15,0.13
RARS1,day 13,-0.77,-4.24
RARS1,day 21,-0.82,-4.78
RARS2,day 5,-0.06,0.13
RARS2,day 13,-2.35,-1.93
RARS2,day 21,-2.06,-4.82
RAVER1,day 5,0.6,-0.03
RAVER1,day 13,1.51,0.53
RAVER1,day 21,1.88,1.14
RAVER2,day 5,-0.04,-0.17
RAVER2,day 13,-0.13,0.2
RAVER2,day 21,1.02,1.05
RAX,day 5,0.22,0.58
RAX,day 13,1.25,1.33
RAX,day 21,1.47,1.99
RBBP5,day 5,0.24,-0.01
RBBP5,day 13,-1.76,-2.6
RBBP5,day 21,-2.46,-3.98
RBBP6,day 5,0.14,-0.66
RBBP6,day 13,-2.28,-2.43
RBBP6,day 21,-2.4,-2.85
RBFOX1,day 5,0.7,0.25
RBFOX1,day 13,1.52,1.43
RBFOX1,day 21,2.37,2.39
RBFOX2,day 5,-0,0.08
RBFOX2,day 13,0.88,1.02
RBFOX2,day 21,0.98,1.78
RBFOX3,day 5,0.13,0.36
RBFOX3,day 13,1.53,1.63
RBFOX3,day 21,2.16,2.61
RBM10,day 5,0.69,-0.05
RBM10,day 13,0.36,0.76
RBM10,day 21,1.01,0.82
RBM11,day 5,-0.6,0.08
RBM11,day 13,-0.93,0.1
RBM11,day 21,-0.52,0.48
RBM12,day 5,0.37,-0.3
RBM12,day 13,0.21,-0.06
RBM12,day 21,0.05,-0.07
RBM12B,day 5,0.09,0.61
RBM12B,day 13,0.43,1
RBM12B,day 21,1.95,1.34
RBM14,day 5,0.51,0.23
RBM14,day 13,-0.01,0.03
RBM14,day 21,-0.58,0.05
RBM14-RBM4,day 5,-0.28,0.06
RBM14-RBM4,day 13,0.6,1.09
RBM14-RBM4,day 21,0.66,1.71
RBM15,day 5,-0.24,-0.14
RBM15,day 13,0.2,-0.44
RBM15,day 21,0.19,0.07
RBM15B,day 5,0.13,0.03
RBM15B,day 13,0.68,1.49
RBM15B,day 21,1.44,2.32
RBM17,day 5,0.56,0.09
RBM17,day 13,-2.1,-2.94
RBM17,day 21,-0.93,-1.96
RBM18,day 5,0.06,0.37
RBM18,day 13,1.72,1.93
RBM18,day 21,2.55,2.86
RBM19,day 5,-0.28,-0.02
RBM19,day 13,-2.76,-3.13
RBM19,day 21,-2.63,-2.96
RBM20,day 5,0.52,0.27
RBM20,day 13,1.29,1.2
RBM20,day 21,1.82,1.64
RBM22,day 5,-0.36,-0.69
RBM22,day 13,-2.23,-3.16
RBM22,day 21,-3.95,-3.23
RBM23,day 5,-0.07,0.09
RBM23,day 13,-0.76,-0.52
RBM23,day 21,0.51,-0.53
RBM24,day 5,0.14,0.26
RBM24,day 13,0.73,1.35
RBM24,day 21,1.42,1.94
RBM25,day 5,-0.04,-0.23
RBM25,day 13,-2.88,-2.92
RBM25,day 21,-3.51,-1.94
RBM26,day 5,-1.47,-0.12
RBM26,day 13,0.65,0.81
RBM26,day 21,0.11,1.32
RBM27,day 5,0.58,0.01
RBM27,day 13,0.55,0.61
RBM27,day 21,1.47,0.78
RBM28,day 5,0.06,0.01
RBM28,day 13,-0.62,-1.17
RBM28,day 21,-0.04,-1.24
RBM3,day 5,0.6,0.14
RBM3,day 13,0.92,1.05
RBM3,day 21,1.05,1.68
RBM33,day 5,-0.16,0.14
RBM33,day 13,0.37,0.83
RBM33,day 21,-0.11,1.19
RBM34,day 5,-1.52,-0.15
RBM34,day 13,-1.05,0.05
RBM34,day 21,-1.08,0
RBM38,day 5,1.16,0.36
RBM38,day 13,2.06,0.71
RBM38,day 21,2.15,1.03
RBM39,day 5,-1.03,-0.33
RBM39,day 13,-3.94,-4.39
RBM39,day 21,-3.06,-3.48
RBM4,day 5,0.22,-0.05
RBM4,day 13,0.53,1
RBM4,day 21,0.39,1.43
RBM41,day 5,-0.28,0.16
RBM41,day 13,1.24,0.56
RBM41,day 21,1.38,1.03
RBM42,day 5,-0.11,-0
RBM42,day 13,-0.47,0.15
RBM42,day 21,0.1,0.58
RBM43,day 5,1.11,0.22
RBM43,day 13,2.25,1.45
RBM43,day 21,2.21,2.14
RBM44,day 5,-0.11,0.2
RBM44,day 13,1.05,1.34
RBM44,day 21,1.68,2.02
RBM46,day 5,-0.03,0.04
RBM46,day 13,0.63,1.28
RBM46,day 21,1.17,1.88
RBM47,day 5,0.24,0.52
RBM47,day 13,0.4,1.41
RBM47,day 21,1.07,2.18
RBM48,day 5,0.33,0.38
RBM48,day 13,0.01,-0.15
RBM48,day 21,-0.2,-0.59
RBM4B,day 5,0.84,0.08
RBM4B,day 13,1.49,1.26
RBM4B,day 21,1.92,2.11
RBM5,day 5,-1.37,-0.74
RBM5,day 13,-0.67,-0.71
RBM5,day 21,0.03,-1.34
RBM6,day 5,-1.08,-0.52
RBM6,day 13,-0.65,-0.72
RBM6,day 21,-0.24,-1.99
RBM7,day 5,-1.55,0.31
RBM7,day 13,0.26,1.3
RBM7,day 21,-0.13,1.64
RBM8A,day 5,-0.02,-1.69
RBM8A,day 13,-3.41,-4.77
RBM8A,day 21,-3.16,-4.61
RBMS1,day 5,0.3,-0.04
RBMS1,day 13,1.41,0.11
RBMS1,day 21,1.75,0.97
RBMS2,day 5,-0.42,0.14
RBMS2,day 13,-1.09,-0.34
RBMS2,day 21,-0.65,-1.35
RBMS3,day 5,0.1,0.13
RBMS3,day 13,1.04,1.02
RBMS3,day 21,1.93,1.99
RBMX,day 5,0.23,-0.36
RBMX,day 13,-2.03,-4.35
RBMX,day 21,-1.32,-4.14
RBMX2,day 5,0.28,-0.14
RBMX2,day 13,-2.25,-3.13
RBMX2,day 21,-1.06,-1.72
RBMXL1,day 5,-0.71,0.38
RBMXL1,day 13,-0.63,0.63
RBMXL1,day 21,-0.58,1.14
RBMXL2,day 5,0.02,-0.09
RBMXL2,day 13,1.01,0.94
RBMXL2,day 21,1.49,1.39
RBMXL3,day 5,0.95,-0.44
RBMXL3,day 13,0.19,0.06
RBMXL3,day 21,-0.57,0.73
RBMY1A1,day 5,0.32,0.28
RBMY1A1,day 13,1.01,1.66
RBMY1A1,day 21,1.29,2.38
RBMY1B,day 5,0.35,0.16
RBMY1B,day 13,1.63,1.56
RBMY1B,day 21,1.99,2.36
RBMY1D,day 5,0.48,0.01
RBMY1D,day 13,0.4,0.25
RBMY1D,day 21,0.19,0.28
RBMY1E,day 5,0.41,0.24
RBMY1E,day 13,1.79,1.45
RBMY1E,day 21,2.68,2.25
RBMY1F,day 5,0,0.27
RBMY1F,day 13,1.13,1.34
RBMY1F,day 21,1.5,2.15
RBMY1J,day 5,-0.02,0.32
RBMY1J,day 13,1.36,1.41
RBMY1J,day 21,1.74,2.15
